"Код","ADDRESS","KOR","WClass","Основа","Аффиксы","Glosses","Перевод","перевод на другом языке","RandComms"
"1","4b","님금과","N","nimkum","kwa","COMIT","ruler","임금?",""
"2","4b","신하","N","sinha","non","TOP","subject","",""
"3","4b","하과","N","hanol","kwa","COMIT","sky","",""
"4","4b","","N","stah","oy","LOC","earth","땅",""
"5","4b","분의라","N+COP","pwun","la","COP-DECL","difference","","COP uy"
"6","4b","놉고","P","nwop","kwo","COOR","high","",""
"7","4b","","PRT","stwo","","","","또",""
"8","4b","귀며","P","kwuy-ho","mye","COOR","noble, respected","",""
"9","4b","고","P","nos","kwo","COOR","low","낮다",""
"10","4b","","PRT","stwo","","","","또",""
"11","4b","쳔니","P","chyen-ho","ni","PARA","humble","천하다",""
"12","4b","놉고","P","nwop","kwo","COOR","high","",""
"13","4b","귀이","P","kwuy-ho","n-i","PInd-NOM","noble, respected","",""
"14","4b","고","P","nos","kwo","COOR","low","",""
"15","4b","쳔이","P","chyen-ho","n-i-lol","PInd-BN-ACC","humble","",""
"16","4b","브림과","N","puli","m-kwa","NMNZ-COMIT","manage","부리다",""
"17","4b","고","P","nos","kwo","COMIT","low","",""
"18","4b","쳔이","P","chen-ho","n-i","PInd-BN","humble","",""
"19","4b","놉고","P","nwop","kwo","COMIT","high","",""
"20","4b","귀이","P","kwuy-ho","n-i-lol","PInd-BN-ACC","noble, respected","",""
"21","4b","셤김은","P","syemki","m-un","NMNZ-TOP","serve","섬기다",""
"22","4b","하과","N","hanol","kwa","COMIT","sky","",""
"23","4b","","N","stah","oy","LOC","earth","",""
"24","4b","덧덧","P","testes-ho","n","PInd","alaways so","늘 그러하다",""
"25","4b","경이며","N+COP","kyeng","mye","COOR","pass","",""
"26","4b","녜며","N+COP","nyey","mye","COOR","древность","가다",""
"27","4b","이제","ADV","icey","","","now","이제",""
"28","4b","통","P","thwong-ho","n","PInd","go through","",""
"29","4b","의라","N+COP","uy","la","DECL","порядок, закон","",""
"30","4b","이런","P","ile","n","PInd","so","이런고로?",""
"31","4b","고로","N","kwo","lwo","INSTR","since","",""
"32","4b","님금은","N","nimkum","un","TOP","ruler","",""
"33","4b","원을","N","wen","ul","ACC","origin","",""
"34","4b","몸바다","P","mwom-pat","a","CV","embody","","соединить потом"
"35","4b","호","N","hwo","lol","ACC","order","",""
"36","4b","발며","P","pal-ho","me","COOR","apply","바르다??",""
"37","4b","령을","N","lyeng","ul","ACC","soul","",""
"38","4b","베프이오","N","peyphu","non-i-wo","PROC-PInd-BN-COOR","have mercy on","베풀다",""
"39","4b","신하","N","sinha","non","TOP","subject","",""
"40","4b","원을","N","wen","ul","ACC","origin","",""
"41","4b","됴화야","P","tywohwa-ho","ya","CV","like","좋아하다",""
"42","4b","어진","P","ecil","n","PInd","good","",""
"43","4b","거","BN","kes","ol","ACC","thing","",""
"44","4b","베프며","P","peyphu","me","COOR","have mercy on","",""
"45","4b","간샤","P","kansya-ho","n","PInd","cunning","간사하다",""
"46","4b","거","BN","kes","ol","ACC","thing","",""
"47","4b","막","P","mak","no-n","PROC-PInd","prevent","",""
"48","4b","쟈라","BN+COP","cya","la","DECL","","",""
"49","4b","모다","Det","mwota","","","all","모두",""
"50","4b","만나","P","manna","no-n","PROC-PInd","meet","",""
"51","4b","즈음에","N","cuum","ey","LOC","occasion","즈음",""
"52","4b","각각","Det","kakkak","","","each","",""
"53","4b","그","Det","ku","","","that","",""
"54","4b","도리","N","twoli","lol","ACC","method","도리",""
"55","4b","다야","P","ta-ho","ya","CV","fulfill","다하다",""
"56","5a","","NUM","hona","","","one","",""
"57","5a","가지로","N","kaci","lwo","INSTR","kind","가지",""
"58","5a","공경고","P","kwongkyeng-ho","kwo","COOR","respect","공경하다",""
"59","5a","화협히","ADV","hwahyephi","","","in harmony","",""
"60","5a","공슌야","P","kwongsywun-ho","ya","CV","obedient","공순하다",""
"61","5a","","P","psu","e","CV","use","",""
"62","5a","지극","P","cikuk-ho","n","PInd","utmost","지극하다",""
