"Код","ADDRESS","KOR","WClass","Основа","Аффиксы","Glosses","Перевод","перевод на другом языке","RandComms"
"63","5a","다","P","taso","no-n","PROC-PInd","govern","다스려 지다",""
"64","5a","","BN","toy","","","place","뎨?",""
"65","5a","니니","P","nilo","no-ni","PROC-PARA","set up","일으키다",""
"66","5a","진실로","N","cinsil","lo","INSTR","truth","진실로",""
"67","5a","혹","ADV","hwok","","","although","",""
"68","5a","님금이오","N+COP","nimkum","wo","COOR","ruler","",""
"69","5a","능히","ADV","nunghi","","","easily","",""
"70","5a","님금의","N","nimkum","uy","GEN","ruler","",""
"71","5a","도리","N","twoli","lol","ACC","method","",""
"72","5a","다디","P","ta-ho","ti","NEG","fulfill","",""
"75","5a","못며","P","mwos-ho","mye","COOR","cannot","",""
"76","5a","신해오","N+COP","sinha","wo","COOR","subject","",""
"77","5a","능히","ADV","nunghi","","","easily","",""
"78","5a","신하의","N","sinha","uy","GEN","subject","",""
"79","5a","직분을","N","cikpwun","ul","ACC","","",""
"80","5a","닥디","P","tak","ci","NEG","","",""
"81","5a","못면","P","mwos-ho","myen","COND","cannot","",""
"82","5a","가히","N","kahi","","","thing","개",""
"83","5a","더브러","P","tepul","e","CV","together","더불어",""
"84","5a","","NUM","hona","","","one","",""
"85","5a","가지로","N","kaci","lwo","INSTR","kind","",""
"86","5a","텬하와","N","thyenha","wa","COMIT","поднебесная","",""
"87","5a","나라를","N","nala","lul","ACC","country","",""
"88","5a","다리디","P","tasoli","ti","NEG","govern","다스리다",""
"89","5a","못리라","P","mwos-ho","li-la","PROB-DECL","cannot","",""
"90","5a","비록","ADV","pilwok","","","although","비록",""
"91","5a","그러나","P","kule-ho","na","ADVS","so","그렇게",""
"92","5a","내","N","na","y","GEN","I","",""
"93","5a","님금이","N","nimkum","i","NOM","ruler","",""
"94","5a","능히","ADV","nunghi","","","easily","",""
"95","5a","못리라","P","mes-ho","li-la","PROB-DECL","cannot","",""
"96","5a","홈을","P","ho","wo-m-ul","VOL-NMNZ-ACC","do/say","",""
"97","5a","닐오","P","nil","wotoy","QUOT","say","",""
"98","5a","적이니","N+COP","cek","ni","PARA","enemy","",""
"99","5a","녜","N","nyey","","","древность","",""
"100","5a","샹나라","N","syang-nala","","","Shang-country","merchants?",""
"101","5a","","N","cywu","y","NOM","Chou","",""
"102","5a","모딜","P","mwotil","l","PProb","severe","모질다",""
"103","5a","고사오","N","kwosawo","","","древний","",""
"104","5a","탑거늘","P","thap","kenul","CAUS","cruel, brutal","","???"
"105","5a","비간이","N","pikan","i","NOM","Pi-kan","",""
"106","5a","간다가","P","kan-ho","taka","SEQ","remonstrate","간하다",""
"107","5a","죽으니","P","cwuk","uni","PARA","die","",""
"108","5a","츙신의","N","chywungsin","uy","GEN","loyal official","",""
"109","5a","졀이","N","cyel","i","NOM","section","",""
"110","5a","이예","ADV","i-yey","","","here","여기에",""
"111","5a","극진도다","P","kukcin-ho","two-ta","EMOT-DECL","крайняя степень","utmost",""
"112","5a","공","N","kwongco","i","NOM","confucius","",""
"116","5a","샤","P","kol","osi-ayoi","HONSubj-QUOT","say","",""
"117","5a","신해","N","sinha","i","NOM","subject","",""
"118","5a","님금","N","nimkum","","","ruler","",""
"119","5a","셤김을","P","syemki","m-ul","NMNZ-ACC","serve","섬기다",""
"120","5a","츙셩으로","N","chyungsye","ulwopse","INSTR","","",""
"121","5a","디라","P","ho","ltila","SHOULD","do","",""
"122","5a","시니라","P","ho","si-ni-la","HONSubj-IND-DECL","say","",""
