ADDRESS	KOR	WClass	ОСНОВА	ХВОСТ	GLOSS	TRANS	RUS	ContKOR	Comment
11a  17	삼디	P	sam	ti	NEG				?to nake a tie with someone?
11a  17	아니고	P	a-ni-ho	kwo	COORD				
11a  17	다만	ADV	ta-man			just			
11a  18	즐겨	P	cul-k	ye	CV				
11a  18	친압며	V	chin-ap-ho	mye	COORD	"to be close, intimacy"			
11a  18									
11a  18	희학홈으로	V	huy-hak-ho	wom-u-lwo-pse	NMNZ-INST	to joke (frivolity)			
11a  18	서르	N	se-lu			each			
11a  18	친홈을	V	chin-hwo	m-ul	NOMZ-ACC	to be friends			
11a  19	삼으면	V	sam	u-mye	COORD	to make something one's			
11a  19	어이	ADV	ei			like			
11a  19	능히	P	nung	hi	ADV	easily (to be able to do easily)			
11a  19	오도록	N	wo-roy	two-lwok		a long time			
11a  19	소윈티	V	swo-won	thi	NEG	"to be distant, to separate"			
			thi						
11 b 1	아니리오	V	a-ni-ho	li-wo	PROB-INTER				???дубитатив
11 b 1	녜	N	nyey			old			
11 b 1	안	N	an-co	i	NOM	Yen-tzu			
11 b 1	사으로	N	sa-lom	u-lwo	INST	man			
11 b 1	더브러	P	te-pul	e	CV	in company with		더불어	
11 b 2	사괴되	P	sa	twoy	CONC	to go out			
11 b 2	오도록	N	wo-roy	two-lwok	LIM	a long time		?오래도록	
11 b 2	공경니	P	kwong-kyeng-ho	ni	PARA	to respect			
11 b 2	벗과	N	pes	kwa	COMIT	friend			
11 b 2	벗의	N	pes	uy	GEN	friend			
11 b 3	되	N	two	i	NOM	way			
11 b 3	맛당이	ADV	mas-tang	i	ADV	properly			
11 b 3	이러	DET	i-l	e	CONVERB	alike		이렇다	
11 b 3	디니라	P	thos-ho	l-ti-ni-ra	IND+DECL	to do			
11 b 3	공	N	kwong-co	i	NOM	Confucius			
11 b 3	샤	P	koth	sya-toi	HONSub+QUOT	to say			
11 b 4	븡우의게	N	pung-wu	uy-key	DAT	??friend			
