ID,ADDRESS,KOR,ROOT,TAIL,GLOSS,TRANS,ContKOR,RUS,WClass,COMMENT
59,9a 4,셤기고,syem-ki,kwo,COOR,take care of,,,P,
60,9a 5,다,tasos,,,five,,,NUM,
61,9a 5,로,hoy,lwo-pse,INSTR,year,,,N,
62,9a 5,라거든,co-la,ke-tun,COND,grow up,,,P,
63,9a 5,엇게로,es-key,lwo,INSTR,shoulder?,어깨,,N,
64,9a 5,조츨디니,cwo-ch,ul-ti-ni,SHOULD,follow,,,P,
65,9a 6,얼운이,el-wun,i,NOM,senior,,,N,
66,9a 6,어린이를,e-lin-i,lul,ACC,junior,,,N,
67,9a 6,랑며,so-lang-ho,mye,COOR,love,,,P,
68,9a 6 ,어린이,e-lin-i,,,junior,,,N,
69,9a 7,얼운을,el-wun,ul,ACC,senior,,,N,
70,9a 7,공경,kwong-kyeng-ho,n,PInd,respect,,,P,
71,9a 7,연후에,yen-hwu,ey,LOC,afterwards,,,ADV,
72,9a 7 ,사졈은,,un,TOP,,,,N?,
73,9a 7,이를,i,lul,ACC,person,,,N,
74,9a 7,업슈이,,,,,,,,слитно
75,9a 8,녀기며,ep-sywu-i-nye-ki,mye,COOR,despise,업신여기다,,P,слитно
76,9a 8 ,얼운을,el-wun,ul,ACC,senior,,,N,
77,9a 8 ,릉멸,lung-myel-ho,nun,PInd,look down on,,,P,
78,9a 8,폐,phyey,,,弊,,,N,"1) fraud; abuse; malpractice 
2) disadvantage; harm"
79,9a 8,업서,ep-se,,CV,not to exist,없어,,P,
80,9a 9,사의,sa-lom,uy,GEN,person,,,N,
81,9a 9,되,two,y,NOM,path,,,P,
82,9a 9,바로리라,paru,wo=i=la,INTN,,,,P,VOL+PROB
83,9a 9,믈며,ho,m=ul=mye?,NMLZ+ACC+COOR?,still more?,하물며,,P,
84,9a 9,형과,hyeng,kwa,COMI,older brother,,,N,
85,9a 9,아,a-o,nun,PInd,small,작은,,P,
86,9a 10,긔운이,kuy-wun,i,NOM,strength,,,N,
87,9a 10,,hon,,,one,,,NUM,
88,9a 10,가진,ka-chi,n,PInd,have,,,P,
89,9a 10,사이라,sa-lom-i,la,DECL,person,,,N+COP,
90,9a 10,골육의,kwol-ywuk,uy,GEN,bone and flesh,,,N,
91,9a 10,지극,ci-kuk-ho,n,PInd,faithful/extreme,,,P,
92,9a 11,친이니,chin-i,ni,PARA,"relatives, parents; intimate",,,N+COP,親
93,9a 11,더욱,te-wuk,,,much more,,,ADV,
94,9a 11,맛당이,mas-tang,i,NOM,"suitable, right",마땅함,,N,
95,9a 11,우,wu-oy-ho,l,,?,,,P,
96,9a 11,거시오,kes,i-wo,?+COOR,,,,BN,
97,9a 12,가히,ka-hi,,,"fully, easily",,,ADV,
98,9a 12,노홈을,nwo-ho,wo-m-ul,VOL+NMLZ+ACC,anger?,,,N,怒 (노) anger
99,9a 12,초며,kom-chwo,mye,COOR,keep,간직하다,,P,"retain, store; 藏"
100,9a 12,원망을,wen-mang,ul,ACC,resentment,,,P,怨
101,9a 12,재어,chay,e,CV,take,,,P,
102,9a 12,,pse,,,,,,P,
103,9a 13,하의,ha-nol,uy,GEN,heaven,,,N,
104,9a 13,덧덧,tes-tes-h,n,PInd,eternal,,,P,
105,9a 13,거슬,kes,ul,ACC,,,,BN,
106,9a 13,패티,phay,thi,NEG?,fail,,,P,敗
107,9a 13,못,mos,,,cannot,,,P,
108,9a 13,,ho,l,PProb,do,,,P,
109,9a 13,시니라,skes-i,ni-la,IND+DECL,,,,BN+COP?,
110,9a 14,녜,,,,,,,,
111,9a 14,마광이,so-ma-kwang,i,NOM,Sima Guang,,,N,司馬光
112,9a 14,그,ku,,,that,,,DET,
113,9a 14,형강으로,hyeng-poyk-kang,ulwo,INSTR,,,,N,兄伯 (старший брат мужа) + 康 (здоровье)
114,9a 14,더브러,te-pul,e,CV,do together,더불어,,N,
115,9a 15,우홈을,wu-oy-ho,wo=m=ul,VOL+NMLZ+ACC,,,,N,
116,9a 15,더욱,te-wuk,,,much more,,,ADV,
117,9a 15,도타이,two-tha-i?,,,"closely, reliably?",,,?,돋가이?
118,9a 15,야,ho,ya,CV,do,,,P,
119,9a 15,공경믈,kwong-kyeng-ho,m=ul,NMLZ+ACC,respect,,,P,
120,9a 16,엄,em-ho,n,PInd,"strict, rigorous",,,P,嚴
121,9a 16,아비,a-pi,,,father,,,N,
122,9a 16,티,?,,,together,같이,,,
123,9a 16,고,ho,kwo,COOR,do,,,P,
124,9a 16,보믈,pwo-ho,m=ul,NMLZ+ACC,see,,,P,
125,9a 16,어린,e-lin,,,junior,,,P,
126,9a 16,,,,,child?,,,,
127,9a 17,티,,,,together,같이,,,
128,9a 17,니,ho,ni,PARA,do,,,do,
129,9a 17,형과,hyeng,kwa,COMI,older brother,,,N,
130,9a 17,아의,a-o,uy,GEN,small?,작은,,N,
131,9a 17,되,two,y,NOM,path,,,N,
132,9a 17,맛당이,mas-tang,i,NOM,"suitable, right",,,N,
133,9a 17,이러,i-le-thus,,,like this,이렇게,,ADV,
134,9a 18,디니라,thos-ho,l=ti=ni=la,CONS,,,,P,передвинуть th наверх
135,9a 18,,moyng-coy,,,Mencius,,,N+COP,孟子
136,9a 18,샤,kot,osya=wotoy,HONSub+QOUT,to say,,,P,
137,9a 18,뎨의,hoy-tyey,uy,GEN,brother,,,N,孩提 (infant?)
138,9a 19,,o-hoy,,?,child,,,N,
139,9a 19,그,ku,,,that,,,DET,
140,9a 19,어버이,e-pe-i,,,"one's parents",,,N,
141,9a 19,랑홈을,so-lang-ho,wo=m=ul,VOL+NMLZ+ACC,love,,,P,
142,9a 20,아디,a,ti,NEG,,,,P,
143,9a 20,못이,mwos-ho,l=i,,,,,,
144,9a 20,업스며,ep-su,mye,COOR,not to exist,,,P,
145,9a 20,그,ku,,,that,,,DET,
146,9a 20,라매,co-la,m=ay?,NMLZ+LOC?,grow up,,,P,
147,9a 20,미처,mi-che,non,TOP,as far as?,,,,
148,9b 1,그,ku,,,that,,,DET,
149,9b 1,형,hyeng,,,brother,,,N,
150,9b 1,공경홈을,kwong-kyeng-ho,wo-m-ul,VOL+NMLZ+ACC,respect,,,P,
151,9b 1,아디,a,ti,NEG,know,,,P,
152,9b 1,못,mos,,,cannot,,,,
153,9b 1,이,ho,l=i,,do,,,P,
154,9b 2,업스니라,ep-su,ni=la,IND+DECL,not to exist,,,P,
155,9b 2,시니라,ho-shi,ni=la,IND+DECL,do,,,P,
