ID,ADDRESS,KOR,ROOT,TAIL,GLOSS,TRANS,ContKOR,RUS,WClass,COMMENT
1,8b 1,얼운과,el-wun,kwa,COMI,senior,어른,,N,
2,8b 1,어린이,e-lin-i,non,PInd+BN+TOP,junior,,,N,
3,8b 1,텬륜의,thyen-lywun,uy,GEN,the will of Heaven,,,N,天倫 (heaven + order)
4,8b 1,례라,cho-lyey,la,DECL,order?,차례,,N,次例 (order)
5,8b 1,형이,hyeng-i,pse,CV,elder (brother) + ?,,,N+COP+P?,разбить!
6,8b 2,형이되,hyeng-i-twoy-non,non,TOP,become,,,N+COP+P?,разбить!
7,8b 2,바,pa,,,way,,,BN,?
8,8b 2,와,wa,,COMI?,,,,P,
9,8b 2,아이,ai,pse,?,child,,,?,
10,8b 2,아이,ai,,,child,,,N,
11,8b 2,되,twoy,non,TOP,become,,,P,
12,8b 2,배,pay,,,?,,,N?,
13,8b 3,얼운과,el-wun,kwa,COMI,senior,,,N,
14,8b 3,어린의,e-lin,ey,PInd+GEN,junior,,,N,
15,8b 3,되,two,y,NOM,path,,,N,???
16,8b 3,브터,puthe,,,since,부터,,PTCL,???
17,8b 3,나,na,non,PInd,be born,,,P?,
18,8b 3,배라,pa-y,la,DECL,fact,바이,,BN+COP,
19,8b 3,대개,tay-kay,,,generally,,,ADV,
20,8b 4,종족과,cwong-cwok,kwa,COMI,"tribe, clan",,,N,
21,8b 4,향당애,hyang-tang,ay,LOC,"
a village community",,,N,
22,8b 4,다,ta,,,all,,,PTCL?,
23,8b 4,얼운과,elgwun,kwa,COMI,senior,,,N,
24,8b 4,어린이,e-lin-i,,,junior,,,N,
25,8b 5,이시니,i-shi,ni,PARA,to exist,,,P,
26,8b 5,가히,ka-ho,i,ADV,"f(ully, easily)",,,P,可 (possibly)
27,8b 5,어즐어히,e-cuyl-e-hi,,,????,,,ADV,B: 紊 [문티]
28,8b 5,못,mos,,,cannot,,,P,
29,8b 5,디라,ho,l-ti-la,SHOULD,to do,,,P,
30,8b 5,날호야,nal-hwo-ya,,,slowly,,,ADV,
31,8b 6,가,ka,,,go,,,P,
32,8b 6,얼운의게,el-wun,uy-key,DAT,senior,,,N,
33,8b 6,후에,hwu,ey,LOC,after,,,PTCL,
34,8b 6,홈을,ho,wo=m=ul,VOL+NMLZ+ACC,do,,,P,
35,8b 6,닐오,nil,wo-toy,CONC,say,,,P,the narration verb?
36,8b 6,공슌,kwong-swyun,thi,NEG,,,,?,
37,9a 1,타고,tha-ha,go,COOR,?,,,?,타니
38,9a 1,니,spolu,ni,??,quick,빨리,,ADV,
39,9a 1,가,ka,,,go,,,P,
40,9a 1,얼운의게,el-wun,uy-key,DAT,senior,,,N,
41,9a 1,몬져,mwon-cye,,,first,,,PTCL,
42,9a 1,홈을,hwom,ul,ACC,?,,,N?,
43,9a 1,닐오,nil,wo-toy,CONC,reach,,,P,
44,9a 2,공슌티,kwong-swyun,thi,NEG?,,,,,
45,9a 2,아니,ani,,NEGPrep,"""no""",,,,
46,9a 2,타니,tha-ho,ni,IND,,,,P,
47,9a 2,이런,ileh,n,PInd,such,,,P,
48,9a a,고로,kwo,lwo,INST,reason,,,N,
49,9a 2,나히,na-hi,,,age,나이,,N,
50,9a 3,라미,co-la,m-i,NMLZ+NOM,grow up,,,N,
51,9a 3,,pse,,СV,,,,P,
52,9a 3,거든,poy-ho,ke-tun,COND,double,,,P,
53,9a 3,아비톄로,api,thyey-lwo,?,father,처럼,,N,like a father
54,9a 3,셤기고,syem-ki,kwo,COOR,take care of,섬기다,,P,
55,9a 4,열,yel,,,ten,,,NUM,
56,9a 4,로,hoy,lwo-pse,INST,year,,,N,
57,9a 4,라거든,co-la,ke-tun,COND,grow up,,,P,
58,9a 4,형톄로,hyeng,thyey-lwo,,older brother,,,N,
