ID,ADDRESS,KOR,ROOT,TAIL,GLOSS,TRANS,ContKOR,RUS,WClass,COMMENT
1,1b 1,하과,ha-nol,kwa,COMIT,Heaven ,,,N,
2,1b 1,,sta,,,earth,땅,,N,
3,1b 1,이에,so-i,yey,LOC,space (between),,,N,
4,1b 1,만물이,man-mwul,i,NOM,ten thousands things,,,N,
5,1b 1,만흔디,manh,un=ti,CONC,many,,,P,
6,1b 1,오직,,,,only,,,PCL,
7,1b,사이,,i,NOM,person,,,N,
8,1b,장,kocang,,,most,가장,,ADV,
9,1b,귀니,kwi-ho,ni,PARA,valuable,,,P,
10,1b,사을 ,sa-lom,ul,ACC,person,,,N,
11,1b,귀히,,i,ADV,nobly,,,ADV,
12,1b,너기,ne-ki,no=n,PROC+PInd,to consider,,,P,
13,1b,바,pa,non,TOP,that (way),,,BN,"can be used in the place of 일, 것, 줄 to mean 방법, 앞에서 말한 내용, 형편/사실"
14,1b,그,ku,,,that,,,DET,
15,1b,다,tasos,,,five,,,NUM,
16,1b,가지,kaci,,,kind,,,N,
17,1b,인륜이,in-lyun,i,NOM,relations,,,N,конфуцианский термин
18,1b,이시모로라,isi,mwolwo=psey=la,NMNZ+ABL+COP+DECL,,,,P,
19,1b,이런,i-le-h,n,PInd,such,,,P,
20,1b,고로,ko,lo,INSTR,therefore,,,N,
21,1b,,,i,NOM,Mencius,,,N,
22,1b,샤,kot,osya=wotoy,HONSub+QOUT,to say,가라사대,,P,
23,1b,아비와,api,wa,COMI,father ,,,N,
24,1b,식이,co-sik,i,NOM,child,,,N,
25,1b,친홈이,chin-ho,wo=m=i,VOL+NMLZ+NOM,intimacy,,,P,
26,1b,이시며,i-shi,mey,COOR,to exist,,,P,
27,1b,님금과,,kwa,,monarch,임금,,N,
28,1b,신해,shina,i,NOM,subject,,,N,
29,1b,의이시며,,,,,,,,
30,1b,지아비와,,wa,COMI,husband,,,N,
31,1b,지어미,,,NOM(inc),wife,,,,
32,1b,분별이,pwun-pyel,i,NOM,distinction,,,,
33,1b,이시며,i,shi=mye,COOR,,,,,
34,1b,얼운과,elwun,kwa,COMI,adult,어른,,,
35,1b,어린이,elini,,,child,,,,
36,1b,례,,,NOM(inc),order,,,N,
37,1b,이시며,,,,,,,,
38,1b,벗과,pes,kwa,COMI,friend,,,,
39,1b,벗이,pes,i,NOM,friend,,,,
40,1b,밋브미,,,NMLZ+NOM,trust,미쁘다?,,,밋브다 — 믿브다 — 미쁘다
41,1b,이심이라,ishi,m=i=la,NMLZ+COP+DECL,,,,,
42,1b,시니 ,ho,shi=ni,QOUT+HONSub+LycDECL,to say,,,BV,
43,1b,사이오,sa-lom,i-wo,COP+COOR,person,,,,
44,1b,다,ta-so,s,,five,,,,
45,1b,가지,ka-ci,,,kind,,,,
46,1b,덧덧,,,,eternal?,,,,(덧덧하다 — 덛덛하다 — ...) 늘 그러하다. 변함없이 같다.
47,1b,거시,kes,i,NOM,,,,BN,
48,1b,이시믈,,,NMLZ+ACC,to exist,,,,
49,1b,아디,,,NEG,to know,,,,
50,1b,못면,mos-ho,myen,COND,be unable to,,,P,
51,1b,그,,,,,,,,
52,1b,즘과,,kwa,COMI,winged animal,날짐승,,N, (15세기) — 즘 (18세기) — 날즘 (19세기) — 날짐승 (20세기~현재)
53,1b,긜즘에,,ey,LOC,crawling animal,길짐승,,,
54,1b,어긔미,woki,m=i,NMLZ+NOM,be contrary to,,,,
55,1b,멀디,,,NEG,be not far,,,,
56,1b,아니리라,,li=la,PROB+DECL,not to be,,,,
61,1b,그러면,kure,myen,,then,,,,
62,1b,아비,api,,,father,,,,
63,1b,랑고 ,so-lang-ho,kwo,COOR,to love,,,P,
64,1b,식이,co-sik,i,NOM,child,,,N,
65,1b,효도며,,mye,COOR,be filial,,,P,
66,1b,님금이,nim-gum,i,NOM,monarch,,,N,
67,1b,의로고,,kwo,COOR,be just,,,P,
68,1b,신해,,,nom,subject,,,N,
69,2a,츙셩며,,mye,coor,be loyal,,,,
70,2a,지아비,,,nom,husband,,,N,
71,2a,화고,,kwo,COOR,be gentle,,,P,
72,2a,지어미,,,nom,wife,,,N,
73,2a,슌며,,mye,COOR,mild,순하다?,,P,
74,2a,형이,hyeng,i,NOM,older brother,,,N,
75,2a,우고,,kwo,,to love,,,,
76,2a,아이,ai,,,youngster,,,N,
77,2a,공슌며,,mye,coor,to respect,,,,
78,2a,벗과,pes,kwa,COMI,friend,,,,
79,2a,벗이,pes,i,NOM,friend,,,,
80,2a,어진,e-ci,n,,benevolent,,,,
81,2a,거,,,,,,,,
82,2a,도은,,,PInd,,,,,
83,2a,연후애사,,ye=sa,LOC+IFF,afterwards,,,,
84,2a,야흐로,poy-yah,u=lo,INSTR,truly,,,P,뵈야로(15세기~18세기)/보야로 (15세기~18세기) — 야로 (17세기~18세기)/야로 (17세기~18세기) — 야흐로 (17세기~19세기) — 바야흐로 (18세기~현재)
85,2a,가히,,,,fully,,,ADV,
86,2a,사이라,sa-lom-i,la,DECL,to be called a person,,,,
87,2a,니리라,ni-lo,li=la,PROB+DECL,,,,,
